objectid,id_punto,nombreestablecimiento,direccion,municipio,barrio,estado,longitud,latitud
472,472,Oficina Santa Maria Rey,CR 52 84 19,Itagui,Itagui,En servicio,-75.59277359,6.19086148
473,473,Oro Oficina Principal,CL 50 51 12,Itagui,Itagui,En servicio,-75.61008074,6.17272656
474,474,Pan Rico,CR 52 70 04,Itagui,Itagui,En servicio,-75.59859934,6.18245257
475,475,Panaderia La Churris,CR 60 D CL 40 B SUR 13,Medellín,Resto San Antonio De Prado,En servicio,-75.64103,6.18466
476,476,Papeleria Bethel,CL 83 52 A 49,Itagui,Itagui,Desactivado,-75.59382,6.19054
477,477,Papelería Celeste,CR 65 52 B SUR 58,Medellín,Resto San Antonio De Prado,En servicio,-75.64676,6.1753
478,478,Papeleria Jhonnattan,CR 65 27 55,Itagui,Itagui,En servicio,-75.64046,6.16957
479,479,Papeleria Pradito,CL 36 D SUR 55 E 20,Medellín,Resto San Antonio De Prado,En servicio,-75.6407,6.18729
480,480,Papeleria Valentina.Net,CR 54 64 16,Itagui,Itagui,En servicio,-75.60212,6.1812
481,481,Papeleria Y Variedades Mery Mu,CL 57 SUR 67 51,Medellín,Resto San Antonio De Prado,En servicio,-75.648299,6.173025
482,482,Parque Rey,CL 1 52 32,Medellín,Guayabal,En servicio,-75.5864316,6.20821565
483,483,Parque San Pio,CL 33 47A 03,Itagui,Itagui,En servicio,-75.62030406,6.16482274
484,484,Pilsen,CR 50 A 39 14,Itagui,Itagui,En servicio,-75.61787116,6.16923056
485,485,Pollos Mario,CR 52 77 163,Itagui,Itagui,En servicio,-75.59545838,6.18631543
486,486,Pollos Paulandia,CL 80C SUR 59 05 ,La Estrella,La Estrella,En servicio,-75.64216582,6.15758204
487,487,Ppal Jugar Y Ganar,CR 51 53 14,Itagui,Itagui,En servicio,-75.607696,6.17361657
488,488,Punto De Venta Limonar,CL 57 SUR 62 B 33,Medellín,Resto San Antonio De Prado,En servicio,-75.64395091,6.17293484
489,489,Punto Virtual Comunicaciones,CR 52 80 95,Itagui,Itagui,En servicio,-75.59336,6.18919
490,490,Q.A .P La Gloria,CR 48 43 18,Itagui,Itagui,En servicio,-75.61350037,6.16811422
491,491,Rio Claro,CR 63 41 B SUR 18,Medellín,Resto San Antonio De Prado,En servicio,-75.65354672,6.18409128
492,492,Salsamentaria Don Pedro,CL 40 SUR 74 A 24,Medellín,Resto San Antonio De Prado,En servicio,-75.65213346,6.18560298
493,493,Salsamentaria Gloraba,CL 82 SUR 57B 02,La Estrella,La Estrella,En servicio,-75.64160608,6.15570185
494,494,Salsamentaria Puerto Mango,CL 82 SUR 56 C 43,La Estrella,La Estrella,En servicio,-75.64186,6.15574
495,495,Salsamentaria Yarana,CR 53 A B 31 A A 03,Itagui,Itagui,En servicio,-75.62565059,6.16466067
496,496,San Francisco La 28,CL 28 68 – 26,Itagui,Itagui,En servicio,-75.63945524,6.17137634
497,497,San Jose # 1,DG 40 34 16 LOCAL 1,Itagui,Itagui,En servicio,-75.615106,6.165525
498,498,San Pablo,CR 58 No 79 141,Itagui,Itagui,En servicio,-75.59900169,6.19354108
499,499,San Patelo,CR 52 72 A 36,Itagui,Itagui,En servicio,-75.5975834,6.18349792
500,500,San Pio 2,,Itagui,Itagui,En servicio,-75.62013,6.16019
501,501,Santa Rita,CR 69 C 37 SUR 30,Medellín,Resto San Antonio De Prado,En servicio,-75.64838606,6.18615192
502,502,Servicios Y Mensajeria Cj,CL 10 B SUR 54 08,Medellín,Guayabal,En servicio,-75.58288,6.21552
503,503,Simon Bolivar 2,CL 64 A 46 58,Itagui,Itagui,En servicio,-75.59847184,6.17842133
504,504,Supermercado Boom,CR 46 83 A 59 INT 24,Itagui,Itagui,En servicio,-75.58915675,6.18719063
505,505,Tienda De Sentimientos Mundo Prins,CL 56 58 F F 10,Itagui,Itagui,En servicio,-75.6090701,6.1791389
506,506,Tienda Maria,CL 52 SUR 55 B 27,Medellín,Resto San Antonio De Prado,En servicio,-75.646682,6.175527
507,507,Transito Qap,CL 50 42 02,Itagui,Itagui,En servicio,-75.60761439,6.16745861
508,508,Transito Rey,CR 46 50 07,Itagui,Itagui,En servicio,-75.60837301,6.16882308
509,509,Univentas,CR 42 75 83,Itagui,Itagui,En servicio,-75.59081826,6.18224827
510,510,Variedades Julia,CR 50 C 28 84,Itagui,Itagui,En servicio,-75.62398564,6.16189534
511,511,Variedades Kaliccia,CL 83 SUR 55 38,La Estrella,La Estrella,En servicio,-75.637271,6.152728
512,512,Variedades Magico Tertulia,CR 48 46 53,Itagui,Itagui,En servicio,-75.61191,6.16895
513,513,Variedades Sempiterno,CL 75 SUR 53 12,La Estrella,La Estrella,En servicio,-75.63175,6.16061
514,514,Villa Loma,CR 67 41C SUR 26,Medellín,Resto San Antonio De Prado,En servicio,-75.64757996,6.1826284
515,515,Wa Papeleria,CL 38 A  74 A 12,Medellín,Resto San Antonio De Prado,En servicio,-75.65271,6.18653
516,516,Yira  -  Yira,CR 52 1 SUR 56,Medellín,Guayabal,En servicio,-75.58599228,6.20703855
517,517,Alcala Liquors,CL 39 SUR 43A 28,Envigado,Envigado,En servicio,-75.58977243,6.16914325
518,518,Alcala Parroquia,CL 39 A SUR 46 36,Envigado,Envigado,En servicio,-75.59318057,6.1700246
519,519,Baratillo La Paz,CL 45 SUR 42 B 8,Envigado,Envigado,En servicio,-75.59325598,6.16374299
520,520,Barrio Mesa 1,CL 38 SUR 37 04,Envigado,Envigado,En servicio,-75.58430976,6.16767335
521,521,Barrio Mesa 2,CL 39 B SUR 37 13,Envigado,Envigado,En servicio,-75.58577366,6.16547008
522,522,Billares El Parque N 1,CL 37 SUR 41 76,Envigado,Envigado,En servicio,-75.58670959,6.17009314
523,523,Billares Imperial,CR 42 38 SUR 83,Envigado,Envigado,En servicio,-75.58778375,6.16915661
524,524,C.Comercial Metro Sur,CL 37 SUR 46 A 54,Envigado,Envigado,En servicio,-75.59148346,6.17305861
525,525,Cafeteria El Puntito,DG 32 D 34 C SUR 34,Envigado,Envigado,En servicio,-75.58281747,6.17135497
526,526,Calle Larga,CL 75 SUR 46 A 26,Sabaneta,Sabaneta,En servicio,-75.6193062,6.15053237
527,527,City Plaza,CL 36 D SUR 27 A 105 LOCAL 153,Envigado,Envigado,En servicio,-75.57342228,6.1633652
528,528,Consumo Envigado,CR 43 32 A SUR 27,Envigado,Envigado,En servicio,-75.58577303,6.17474384
529,529,Consumo Terracina,CR 27 35 SUR 180,Envigado,Envigado,En servicio,-75.56903068,6.16766118
530,530,Delicias Topy,CL 46 E SUR 42 A 06,Envigado,Envigado,En servicio,-75.595019,6.16034946
531,531,El Baratillo,CR 40 SUR 37 10,Envigado,Envigado,En servicio,-75.5855866,6.16917688
532,532,El Cefit,CR 34 A 39 SUR 01,Envigado,Envigado,En servicio,-75.58404012,6.16538901
533,533,El Comando,CL 41A SUR 42 02,Envigado,Envigado,En servicio,-75.5910067,6.16567766
534,534,El Cosechero 1,CL 37 SUR 39 04,Envigado,Envigado,En servicio,-75.58496382,6.16897492
535,535,El Gloton,CL 41 SUR 25A55,Envigado,Envigado,En servicio,-75.58431662,6.15481441
536,536,El Mua,TRANSVERSAL 34 B SUR 31 13,Envigado,Envigado,En servicio,-75.5795532,6.17271662
537,537,El Obrero,TRANSVERSAL 34 B SUR 32 D 63,Envigado,Envigado,En servicio,-75.58327392,6.17176685
